accuracy,precision,sensitivity_recall,specificity,TN,FP,FN,TP,i
0.5,0.5,1.0,0.0,0,270,0,270,-1e-08
0.5444444444444444,0.5444444444444444,1.0,0.08888888888888889,24,246,0,270,0.00999999
0.5481481481481482,0.5481481481481482,1.0,0.0962962962962963,26,244,0,270,0.01999999
0.5555555555555556,0.5555555555555556,1.0,0.1111111111111111,30,240,0,270,0.029999989999999997
0.5611111111111111,0.5611111111111111,1.0,0.12222222222222222,33,237,0,270,0.03999999
0.5685185185185185,0.5685185185185185,1.0,0.13703703703703704,37,233,0,270,0.04999999
0.575925925925926,0.575925925925926,1.0,0.15185185185185185,41,229,0,270,0.059999989999999996
0.5851851851851851,0.5851851851851851,1.0,0.17037037037037037,46,224,0,270,0.06999999000000001
0.5981481481481481,0.5981481481481481,1.0,0.1962962962962963,53,217,0,270,0.07999999
0.6074074074074074,0.6074074074074074,1.0,0.21481481481481482,58,212,0,270,0.08999999
0.6148148148148148,0.6148148148148148,1.0,0.22962962962962963,62,208,0,270,0.09999999000000001
0.6240740740740741,0.6240740740740741,1.0,0.24814814814814815,67,203,0,270,0.10999999
0.6388888888888888,0.6388888888888888,1.0,0.2777777777777778,75,195,0,270,0.11999999
0.6444444444444445,0.6444444444444445,1.0,0.28888888888888886,78,192,0,270,0.12999999
0.6555555555555556,0.6555555555555556,1.0,0.3111111111111111,84,186,0,270,0.13999999000000002
0.6648148148148149,0.6648148148148149,1.0,0.3296296296296296,89,181,0,270,0.14999999
0.6703703703703704,0.6703703703703704,1.0,0.34074074074074073,92,178,0,270,0.15999999
0.6796296296296296,0.6796296296296296,1.0,0.3592592592592593,97,173,0,270,0.16999999000000002
0.6833333333333333,0.6833333333333333,1.0,0.36666666666666664,99,171,0,270,0.17999999
0.6925925925925925,0.6925925925925925,1.0,0.3851851851851852,104,166,0,270,0.18999999
0.7037037037037037,0.7037037037037037,1.0,0.4074074074074074,110,160,0,270,0.19999999000000002
0.7092592592592593,0.7092592592592593,1.0,0.4185185185185185,113,157,0,270,0.20999999
0.7148148148148148,0.7148148148148148,1.0,0.42962962962962964,116,154,0,270,0.21999999
0.7185185185185186,0.7185185185185186,1.0,0.43703703703703706,118,152,0,270,0.22999999000000002
0.7240740740740741,0.7240740740740741,1.0,0.44814814814814813,121,149,0,270,0.23999999
0.7314814814814815,0.7314814814814815,1.0,0.46296296296296297,125,145,0,270,0.24999999
0.7351851851851852,0.7351851851851852,1.0,0.4703703703703704,127,143,0,270,0.25999999
0.7388888888888889,0.7388888888888889,1.0,0.4777777777777778,129,141,0,270,0.26999999
0.7444444444444445,0.7444444444444445,1.0,0.4888888888888889,132,138,0,270,0.27999999000000003
0.7481481481481481,0.7481481481481481,1.0,0.4962962962962963,134,136,0,270,0.28999999
0.7555555555555555,0.7555555555555555,1.0,0.5111111111111111,138,132,0,270,0.29999999
0.7648148148148148,0.7648148148148148,1.0,0.5296296296296297,143,127,0,270,0.30999999
0.7685185185185185,0.7685185185185185,1.0,0.5370370370370371,145,125,0,270,0.31999999
