accuracy,precision,sensitivity_recall,specificity,TN,FP,FN,TP,i
0.5,0.5,1.0,0.0,0,270,0,270,-1e-08
0.6148148148148148,0.6148148148148148,1.0,0.22962962962962963,62,208,0,270,0.00999999
0.6148148148148148,0.6148148148148148,1.0,0.22962962962962963,62,208,0,270,0.01999999
0.6148148148148148,0.6148148148148148,1.0,0.22962962962962963,62,208,0,270,0.029999989999999997
0.6148148148148148,0.6148148148148148,1.0,0.22962962962962963,62,208,0,270,0.03999999
0.6148148148148148,0.6148148148148148,1.0,0.22962962962962963,62,208,0,270,0.04999999
0.6148148148148148,0.6148148148148148,1.0,0.22962962962962963,62,208,0,270,0.059999989999999996
0.6148148148148148,0.6148148148148148,1.0,0.22962962962962963,62,208,0,270,0.06999999000000001
0.6148148148148148,0.6148148148148148,1.0,0.22962962962962963,62,208,0,270,0.07999999
0.6166666666666667,0.6166666666666667,1.0,0.23333333333333334,63,207,0,270,0.08999999
0.6203703703703703,0.6203703703703703,1.0,0.24074074074074073,65,205,0,270,0.09999999000000001
0.6259259259259259,0.6259259259259259,1.0,0.2518518518518518,68,202,0,270,0.10999999
0.6351851851851852,0.6351851851851852,1.0,0.27037037037037037,73,197,0,270,0.11999999
0.6407407407407407,0.6407407407407407,1.0,0.2814814814814815,76,194,0,270,0.12999999
0.6407407407407407,0.6407407407407407,1.0,0.2814814814814815,76,194,0,270,0.13999999000000002
0.65,0.65,1.0,0.3,81,189,0,270,0.14999999
0.65,0.65,1.0,0.3,81,189,0,270,0.15999999
0.6555555555555556,0.6555555555555556,1.0,0.3111111111111111,84,186,0,270,0.16999999000000002
0.6555555555555556,0.6555555555555556,1.0,0.3111111111111111,84,186,0,270,0.17999999
0.6574074074074074,0.6574074074074074,1.0,0.3148148148148148,85,185,0,270,0.18999999
0.6574074074074074,0.6574074074074074,1.0,0.3148148148148148,85,185,0,270,0.19999999000000002
0.6703703703703704,0.6703703703703704,1.0,0.34074074074074073,92,178,0,270,0.20999999
0.6722222222222223,0.6722222222222223,1.0,0.34444444444444444,93,177,0,270,0.21999999
0.6814814814814815,0.6814814814814815,1.0,0.362962962962963,98,172,0,270,0.22999999000000002
0.6814814814814815,0.6814814814814815,1.0,0.362962962962963,98,172,0,270,0.23999999
0.6814814814814815,0.6814814814814815,1.0,0.362962962962963,98,172,0,270,0.24999999
0.6907407407407408,0.6907407407407408,1.0,0.3814814814814815,103,167,0,270,0.25999999
0.6907407407407408,0.6907407407407408,1.0,0.3814814814814815,103,167,0,270,0.26999999
0.6944444444444444,0.6944444444444444,1.0,0.3888888888888889,105,165,0,270,0.27999999000000003
0.7074074074074074,0.7074074074074074,1.0,0.4148148148148148,112,158,0,270,0.28999999
0.7074074074074074,0.7074074074074074,1.0,0.4148148148148148,112,158,0,270,0.29999999
0.7111111111111111,0.7111111111111111,1.0,0.4222222222222222,114,156,0,270,0.30999999
0.7111111111111111,0.7111111111111111,1.0,0.4222222222222222,114,156,0,270,0.31999999
0.7111111111111111,0.7111111111111111,1.0,0.4222222222222222,114,156,0,270,0.32999999
0.7277777777777777,0.7277777777777777,1.0,0.45555555555555555,123,147,0,270,0.33999999000000003
0.7277777777777777,0.7277777777777777,1.0,0.45555555555555555,123,147,0,270,0.34999999000000004
0.7277777777777777,0.7277777777777777,1.0,0.45555555555555555,123,147,0,270,0.35999999
0.7314814814814815,0.7314814814814815,1.0,0.46296296296296297,125,145,0,270,0.36999999
0.7388888888888889,0.7388888888888889,1.0,0.4777777777777778,129,141,0,270,0.37999999
0.7388888888888889,0.7388888888888889,1.0,0.4777777777777778,129,141,0,270,0.38999999
0.7388888888888889,0.7388888888888889,1.0,0.4777777777777778,129,141,0,270,0.39999999
0.7425925925925926,0.7425925925925926,1.0,0.48518518518518516,131,139,0,270,0.40999999000000004
0.7462962962962963,0.7462962962962963,1.0,0.4925925925925926,133,137,0,270,0.41999999
0.7592592592592593,0.7592592592592593,1.0,0.5185185185185185,140,130,0,270,0.42999999
0.7592592592592593,0.7592592592592593,1.0,0.5185185185185185,140,130,0,270,0.43999999
0.7666666666666667,0.7666666666666667,1.0,0.5333333333333333,144,126,0,270,0.44999999
0.7685185185185185,0.7685185185185185,1.0,0.5370370370370371,145,125,0,270,0.45999999
0.7685185185185185,0.7685185185185185,1.0,0.5370370370370371,145,125,0,270,0.46999999000000003
0.7685185185185185,0.7685185185185185,1.0,0.5370370370370371,145,125,0,270,0.47999999
0.7685185185185185,0.7685185185185185,1.0,0.5370370370370371,145,125,0,270,0.48999999
0.7944444444444444,0.7944444444444444,1.0,0.5888888888888889,159,111,0,270,0.49999999
0.7944444444444444,0.7944444444444444,1.0,0.5888888888888889,159,111,0,270,0.50999999
0.7944444444444444,0.7944444444444444,1.0,0.5888888888888889,159,111,0,270,0.51999999
0.7944444444444444,0.7944444444444444,1.0,0.5888888888888889,159,111,0,270,0.52999999
0.7944444444444444,0.7944444444444444,1.0,0.5888888888888889,159,111,0,270,0.53999999
0.7962962962962963,0.7962962962962963,1.0,0.5925925925925926,160,110,0,270,0.54999999
0.8092592592592592,0.8092592592592592,1.0,0.6185185185185185,167,103,0,270,0.55999999
0.8092592592592592,0.8092592592592592,1.0,0.6185185185185185,167,103,0,270,0.56999999
0.8185185185185185,0.8185185185185185,1.0,0.6370370370370371,172,98,0,270,0.5799999899999999
0.8185185185185185,0.8185185185185185,1.0,0.6370370370370371,172,98,0,270,0.5899999899999999
0.8185185185185185,0.8185185185185185,1.0,0.6370370370370371,172,98,0,270,0.5999999899999999
0.8333333333333334,0.8333333333333334,0.9962962962962963,0.6703703703703704,181,89,1,269,0.6099999899999999
0.8333333333333334,0.8333333333333334,0.9962962962962963,0.6703703703703704,181,89,1,269,0.61999999
0.8351851851851851,0.8351851851851851,0.9962962962962963,0.674074074074074,182,88,1,269,0.62999999
0.8351851851851851,0.8351851851851851,0.9962962962962963,0.674074074074074,182,88,1,269,0.63999999
0.8351851851851851,0.8351851851851851,0.9962962962962963,0.674074074074074,182,88,1,269,0.64999999
0.8351851851851851,0.8351851851851851,0.9962962962962963,0.674074074074074,182,88,1,269,0.65999999
0.8555555555555555,0.8555555555555555,0.9962962962962963,0.7148148148148148,193,77,1,269,0.66999999
0.8555555555555555,0.8555555555555555,0.9962962962962963,0.7148148148148148,193,77,1,269,0.67999999
0.8555555555555555,0.8555555555555555,0.9962962962962963,0.7148148148148148,193,77,1,269,0.68999999
0.8592592592592593,0.8592592592592593,0.9962962962962963,0.7222222222222222,195,75,1,269,0.69999999
0.8592592592592593,0.8592592592592593,0.9962962962962963,0.7222222222222222,195,75,1,269,0.7099999899999999
0.8648148148148148,0.8648148148148148,0.9962962962962963,0.7333333333333333,198,72,1,269,0.7199999899999999
0.8685185185185185,0.8685185185185185,0.9962962962962963,0.7407407407407407,200,70,1,269,0.7299999899999999
0.8685185185185185,0.8685185185185185,0.9962962962962963,0.7407407407407407,200,70,1,269,0.7399999899999999
0.8833333333333333,0.8833333333333333,0.9814814814814815,0.7851851851851852,212,58,5,265,0.74999999
0.8833333333333333,0.8833333333333333,0.9814814814814815,0.7851851851851852,212,58,5,265,0.75999999
0.8833333333333333,0.8833333333333333,0.9814814814814815,0.7851851851851852,212,58,5,265,0.76999999
0.8851851851851852,0.8851851851851852,0.9814814814814815,0.7888888888888889,213,57,5,265,0.77999999
0.8851851851851852,0.8851851851851852,0.9814814814814815,0.7888888888888889,213,57,5,265,0.78999999
0.8907407407407407,0.8907407407407407,0.9777777777777777,0.8037037037037037,217,53,6,264,0.79999999
0.8907407407407407,0.8907407407407407,0.9777777777777777,0.8037037037037037,217,53,6,264,0.80999999
0.8944444444444445,0.8944444444444445,0.9777777777777777,0.8111111111111111,219,51,6,264,0.81999999
0.8944444444444445,0.8944444444444445,0.9777777777777777,0.8111111111111111,219,51,6,264,0.82999999
0.9,0.9,0.9777777777777777,0.8222222222222222,222,48,6,264,0.8399999899999999
0.9,0.9,0.9777777777777777,0.8222222222222222,222,48,6,264,0.8499999899999999
0.9055555555555556,0.9055555555555556,0.9740740740740741,0.837037037037037,226,44,7,263,0.8599999899999999
0.9055555555555556,0.9055555555555556,0.9740740740740741,0.837037037037037,226,44,7,263,0.86999999
0.9092592592592592,0.9092592592592592,0.9703703703703703,0.8481481481481481,229,41,8,262,0.87999999
0.912962962962963,0.912962962962963,0.9666666666666667,0.8592592592592593,232,38,9,261,0.88999999
0.9222222222222223,0.9222222222222223,0.9666666666666667,0.8777777777777778,237,33,9,261,0.89999999
0.9203703703703704,0.9203703703703704,0.9592592592592593,0.8814814814814815,238,32,11,259,0.90999999
0.9203703703703704,0.9203703703703704,0.9592592592592593,0.8814814814814815,238,32,11,259,0.91999999
0.9203703703703704,0.9203703703703704,0.9592592592592593,0.8814814814814815,238,32,11,259,0.92999999
0.9203703703703704,0.9203703703703704,0.9592592592592593,0.8814814814814815,238,32,11,259,0.93999999
0.9203703703703704,0.9203703703703704,0.9592592592592593,0.8814814814814815,238,32,11,259,0.94999999
0.9203703703703704,0.9203703703703704,0.9592592592592593,0.8814814814814815,238,32,11,259,0.9599999899999999
0.9203703703703704,0.9203703703703704,0.9592592592592593,0.8814814814814815,238,32,11,259,0.9699999899999999
0.9203703703703704,0.9203703703703704,0.9592592592592593,0.8814814814814815,238,32,11,259,0.9799999899999999
0.9203703703703704,0.9203703703703704,0.9592592592592593,0.8814814814814815,238,32,11,259,0.9899999899999999
0.5851851851851851,0.5851851851851851,0.17777777777777778,0.9925925925925926,268,2,222,48,0.99999999
